ds,y
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.0
2020-01-10,0.0
2020-01-11,0.0
2020-01-12,0.0
2020-01-13,0.0
2020-01-14,0.0
2020-01-15,0.0
2020-01-16,0.0
2020-01-17,0.0
2020-01-18,0.0
2020-01-19,0.0
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,1.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,1.0
2020-02-03,1.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,0.0
2020-03-01,0.0
2020-03-02,2.0
2020-03-03,0.0
2020-03-04,23.0
2020-03-05,1.0
2020-03-06,2.0
2020-03-07,3.0
2020-03-08,5.0
2020-03-09,5.0
2020-03-10,6.0
2020-03-11,10.0
2020-03-12,13.0
2020-03-13,8.0
2020-03-14,3.0
2020-03-15,23.0
2020-03-16,7.0
2020-03-17,23.0
2020-03-18,14.0
2020-03-19,22.0
2020-03-20,50.0
2020-03-21,60.0
2020-03-22,77.0
2020-03-23,74.0
2020-03-24,85.0
2020-03-25,87.0
2020-03-26,43.0
2020-03-27,75.0
2020-03-28,185.0
2020-03-29,70.0
2020-03-30,92.0
2020-03-31,180.0
2020-04-01,386.0
2020-04-02,328.0
2020-04-03,336.0
2020-04-04,601.0
2020-04-05,472.0
2020-04-06,693.0
2020-04-07,354.0
2020-04-08,853.0
2020-04-09,591.0
2020-04-10,547.0
2020-04-11,1035.0
2020-04-12,909.0
2020-04-13,796.0
2020-04-14,1211.0
2020-04-15,1076.0
2020-04-16,941.0
2020-04-17,1007.0
2020-04-18,991.0
2020-04-19,1334.0
2020-04-20,1553.0
2020-04-21,1336.0
2020-04-22,1383.0
2020-04-23,1409.0
2020-04-24,1684.0
2020-04-25,1429.0
2020-04-26,1990.0
2020-04-27,1396.0
2020-04-28,1543.0
2020-04-29,1897.0
2020-04-30,1718.0
2020-05-01,1993.0
2020-05-02,2293.0
2020-05-03,2644.0
2020-05-04,2553.0
2020-05-05,3900.0
2020-05-06,2958.0
2020-05-07,3561.0
2020-05-08,3390.0
2020-05-09,3320.0
2020-05-10,3277.0
2020-05-11,4213.0
2020-05-12,3604.0
2020-05-13,3525.0
2020-05-14,3722.0
2020-05-15,3967.0
2020-05-16,3970.0
2020-05-17,4987.0
2020-05-18,5242.0
2020-05-19,4970.0
2020-05-20,5611.0
2020-05-21,5609.0
2020-05-22,6088.0
2020-05-23,6654.0
2020-05-24,6767.0
2020-05-25,6977.0
2020-05-26,6535.0
2020-05-27,6387.0
2020-05-28,6566.0
2020-05-29,7466.0
2020-05-30,7964.0
2020-05-31,8380.0
2020-06-01,8392.0
2020-06-02,8171.0
2020-06-03,8909.0
2020-06-04,9304.0
2020-06-05,9851.0
2020-06-06,9887.0
2020-06-07,9971.0
2020-06-08,9983.0
2020-06-09,9987.0
2020-06-10,9985.0
2020-06-11,9996.0
2020-06-12,10956.0
2020-06-13,11458.0
2020-06-14,11929.0
2020-06-15,11502.0
2020-06-16,10667.0
2020-06-17,10974.0
2020-06-18,12881.0
2020-06-19,13586.0
2020-06-20,14516.0
2020-06-21,15413.0
2020-06-22,14821.0
2020-06-23,14933.0
2020-06-24,15968.0
2020-06-25,16922.0
2020-06-26,17296.0
2020-06-27,18552.0
2020-06-28,19906.0
2020-06-29,19459.0
2020-06-30,18522.0
2020-07-01,18653.0
2020-07-02,19148.0
2020-07-03,20903.0
2020-07-04,22771.0
2020-07-05,24850.0
2020-07-06,24248.0
2020-07-07,22252.0
2020-07-08,22752.0
2020-07-09,24879.0
2020-07-10,26506.0
2020-07-11,27114.0
2020-07-12,28637.0
2020-07-13,28701.0
2020-07-14,28498.0
2020-07-15,29429.0
2020-07-16,32695.0
2020-07-17,34956.0
2020-07-18,34884.0
2020-07-19,38902.0
2020-07-20,40425.0
2020-07-21,37148.0
2020-07-22,37724.0
2020-07-23,45720.0
2020-07-24,49310.0
2020-07-25,48916.0
2020-07-26,48661.0
2020-07-27,49931.0
2020-07-28,47703.0
2020-07-29,48513.0
2020-07-30,52123.0
2020-07-31,55078.0
2020-08-01,57118.0
2020-08-02,54735.0
2020-08-03,52972.0
2020-08-04,52050.0
2020-08-05,52509.0
2020-08-06,56282.0
2020-08-07,62538.0
2020-08-08,61537.0
2020-08-09,64399.0
2020-08-10,62064.0
2020-08-11,53601.0
2020-08-12,60963.0
2020-08-13,66999.0
2020-08-14,64553.0
2020-08-15,65002.0
2020-08-16,63490.0
2020-08-17,57981.0
2020-08-18,55079.0
2020-08-19,64531.0
2020-08-20,69652.0
2020-08-21,68898.0
2020-08-22,69878.0
2020-08-23,69239.0
2020-08-24,61408.0
2020-08-25,60975.0
2020-08-26,67151.0
2020-08-27,75760.0
2020-08-28,77266.0
2020-08-29,76472.0
2020-08-30,78761.0
2020-08-31,78512.0
2020-09-01,69921.0
2020-09-02,78357.0
2020-09-03,83883.0
2020-09-04,83341.0
2020-09-05,86432.0
2020-09-06,90632.0
2020-09-07,90802.0
2020-09-08,75809.0
2020-09-09,89706.0
2020-09-10,95735.0
2020-09-11,96551.0
2020-09-12,97570.0
2020-09-13,94372.0
2020-09-14,92071.0
2020-09-15,83809.0
2020-09-16,90123.0
2020-09-17,97894.0
2020-09-18,96424.0
2020-09-19,93337.0
2020-09-20,92605.0
2020-09-21,86961.0
2020-09-22,75083.0
2020-09-23,83347.0
2020-09-24,86508.0
2020-09-25,86052.0
2020-09-26,85362.0
2020-09-27,88600.0
2020-09-28,82170.0
2020-09-29,70589.0
2020-09-30,80472.0
2020-10-01,86821.0
2020-10-02,81484.0
2020-10-03,79476.0
2020-10-04,75829.0
2020-10-05,74442.0
2020-10-06,61267.0
2020-10-07,72049.0
2020-10-08,78524.0
2020-10-09,70496.0
2020-10-10,73272.0
2020-10-11,74383.0
2020-10-12,66732.0
2020-10-13,55342.0
2020-10-14,63509.0
2020-10-15,67708.0
2020-10-16,63371.0
2020-10-17,62212.0
2020-10-18,61871.0
2020-10-19,55722.0
2020-10-20,46790.0
2020-10-21,54044.0
2020-10-22,55839.0
2020-10-23,54366.0
2020-10-24,53370.0
2020-10-25,50129.0
2020-10-26,45148.0
2020-10-27,36470.0
2020-10-28,43893.0
2020-10-29,49881.0
2020-10-30,48648.0
2020-10-31,48268.0
2020-11-01,46963.0
2020-11-02,45231.0
2020-11-03,38310.0
2020-11-04,46253.0
2020-11-05,50210.0
2020-11-06,47638.0
2020-11-07,50356.0
2020-11-08,45674.0
2020-11-09,45903.0
2020-11-10,38073.0
2020-11-11,44281.0
2020-11-12,47905.0
2020-11-13,44879.0
2020-11-14,44684.0
2020-11-15,41100.0
2020-11-16,30548.0
2020-11-17,29163.0
2020-11-18,38617.0
2020-11-19,45576.0
2020-11-20,45882.0
2020-11-21,46232.0
2020-11-22,45209.0
2020-11-23,44059.0
2020-11-24,37975.0
2020-11-25,44376.0
2020-11-26,44489.0
2020-11-27,43082.0
2020-11-28,41322.0
2020-11-29,41810.0
2020-11-30,38772.0
2020-12-01,31118.0
2020-12-02,36604.0
2020-12-03,35551.0
2020-12-04,36595.0
2020-12-05,36652.0
2020-12-06,36011.0
2020-12-07,32981.0
2020-12-08,26567.0
2020-12-09,32080.0
2020-12-10,31521.0
2020-12-11,29398.0
2020-12-12,30006.0
2020-12-13,30254.0
2020-12-14,27071.0
2020-12-15,22065.0
2020-12-16,26382.0
2020-12-17,24010.0
2020-12-18,22890.0
2020-12-19,25152.0
2020-12-20,26624.0
2020-12-21,24337.0
2020-12-22,19556.0
2020-12-23,23950.0
2020-12-24,24712.0
2020-12-25,23067.0
2020-12-26,22273.0
2020-12-27,18732.0
2020-12-28,20021.0
2020-12-29,16432.0
2020-12-30,20549.0
2020-12-31,21822.0
2021-01-01,20035.0
2021-01-02,19079.0
2021-01-03,18177.0
2021-01-04,16504.0
2021-01-05,16375.0
2021-01-06,18088.0
2021-01-07,20346.0
2021-01-08,18139.0
2021-01-09,18222.0
2021-01-10,18645.0
2021-01-11,16311.0
2021-01-12,12584.0
2021-01-13,15968.0
2021-01-14,16946.0
2021-01-15,15590.0
2021-01-16,15158.0
2021-01-17,15144.0
2021-01-18,13788.0
2021-01-19,10064.0
2021-01-20,13823.0
2021-01-21,15223.0
2021-01-22,14545.0
2021-01-23,14256.0
2021-01-24,14849.0
2021-01-25,13203.0
2021-01-26,9102.0
2021-01-27,12689.0
2021-01-28,11666.0
2021-01-29,18855.0
2021-01-30,13083.0
2021-01-31,13052.0
2021-02-01,11427.0
2021-02-02,8635.0
2021-02-03,11039.0
2021-02-04,12899.0
2021-02-05,12408.0
2021-02-06,11713.0
2021-02-07,12059.0
2021-02-08,11831.0
2021-02-09,9110.0
2021-02-10,11067.0
2021-02-11,12923.0
2021-02-12,9309.0
2021-02-13,12143.0
2021-02-14,12194.0
2021-02-15,11649.0
2021-02-16,9121.0
2021-02-17,11610.0
2021-02-18,12881.0
2021-02-19,13193.0
2021-02-20,13993.0
2021-02-21,14264.0
2021-02-22,14199.0
2021-02-23,10584.0
2021-02-24,13742.0
2021-02-25,16738.0
2021-02-26,16577.0
2021-02-27,16488.0
2021-02-28,16752.0
2021-03-01,15510.0
2021-03-02,12286.0
2021-03-03,14989.0
2021-03-04,17407.0
2021-03-05,16838.0
2021-03-06,18327.0
2021-03-07,18711.0
2021-03-08,18599.0
2021-03-09,15388.0
2021-03-10,17921.0
2021-03-11,22854.0
2021-03-12,23285.0
2021-03-13,24882.0
2021-03-14,25320.0
2021-03-15,26291.0
2021-03-16,24492.0
2021-03-17,28903.0
2021-03-18,35871.0
2021-03-19,39726.0
2021-03-20,40953.0
2021-03-21,43846.0
2021-03-22,46951.0
2021-03-23,40715.0
2021-03-24,47262.0
2021-03-25,53476.0
2021-03-26,59118.0
2021-03-27,62258.0
2021-03-28,62714.0
2021-03-29,68020.0
2021-03-30,56211.0
2021-03-31,53480.0
2021-04-01,72330.0
2021-04-02,81466.0
2021-04-03,89129.0
2021-04-04,93249.0
2021-04-05,103558.0
2021-04-06,96982.0
2021-04-07,115736.0
2021-04-08,126789.0
2021-04-09,131968.0
2021-04-10,145384.0
2021-04-11,152879.0
2021-04-12,168912.0
2021-04-13,161736.0
2021-04-14,184372.0
2021-04-15,200739.0
2021-04-16,217353.0
2021-04-17,234692.0
2021-04-18,261500.0
2021-04-19,273810.0
2021-04-20,259170.0
2021-04-21,295041.0
2021-04-22,314835.0
2021-04-23,332730.0
2021-04-24,346786.0
2021-04-25,349691.0
2021-04-26,352991.0
2021-04-27,323144.0
2021-04-28,360960.0
2021-04-29,379257.0
2021-04-30,386452.0
2021-05-01,401993.0
2021-05-02,392488.0
2021-05-03,368147.0
2021-05-04,357229.0
2021-05-05,382315.0
2021-05-06,412262.0
2021-05-07,414188.0
2021-05-08,401078.0
2021-05-09,403738.0
